Id,Sex,Sex Code,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,% of Total Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,State_Age_Combo,Year_dt,temp_sensor_readout,qc_flag_batch_3,legacy_index_offset,adjusted_pop_trend,confidence_spread_metric,Underlying_Cause,Contributing_Cause,Manner_of_Death,temporal_alignment_proxy,Target
6110,F,F,Rhode Island,44.0,,2019.0,< 1 year,,0.0,5141.0,486.29,314.7,717.86,97.26,Rhode Island_< 1 year,,-0.2885118299151099,0.1705598057484824,-30,,2.28109310454401,5044,0.1052360711648115,1,async,25.0
6111,F,,Rhode Island,44.0,,2019.0,15-24 years,15-24,0.0,73256.0,30.03,18.82,45.47,6.4,Rhode Island_15-24 years,,-0.0793567599464075,0.0496868545159788,-6,,2.4160467587672687,3941,0.0587437416585796,3,async,22.0
6112,F,,Rhode Island,-48.432810591536054,,,25-34 years,25-34,0.0797377299645494,2623529.4615373546,-24672.894180793595,-23941.920020844347,,-477.4931980392563,Rhode Island_25-34 years,,0.1908252649227345,-0.0608178811323193,22,,,8888,0.1723706303306983,4,async,30891.990927079107
6113,F,F,Rhode Island,44.0,,,,35-44,0.0,62780.0,,93.97,149.75,13.79,Rhode Island_35-44 years,,-1.1576162217812922,0.2874272619488336,-3,,1.5935937001170586,2369,-0.0157269662637491,1,async,75.0
6114,F,F,,44.0,,2019.0,,45-54,0.0,69601.0,258.62,220.84,296.4,19.28,Rhode Island_45-54 years,NULL_TIMESTAMP,0.3938348760674894,0.6798139276178097,9,,1.3421481615649338,4361,-0.2006723805226294,3,sync,180.0
6115,F,F,Rhode Island,44.0,2019.0,2019.0,55-64 years,55-64,0.0,78233.0,,494.04,,26.41,Rhode Island_55-64 years,1970-01-01 00:00:00.000002019,0.6634127563169082,0.4327345907268679,0,78976.2135,,3513,-0.1596539252931208,3,sync,427.0
6116,F,F,Rhode Island,44.0,,2019.0,65-74 years,,0.0,56460.0,,1195.74,1383.07,47.79,Rhode Island_65-74 years,,-1.0001952769626392,0.2420166345102218,47,,1.1566644922809306,1710,-0.0583501964715503,1,async,728.0
6117,F,F,Rhode Island,44.0,,,75-84 years,75-84,0.0,30655.0,3836.24,3616.98,4055.5,111.87,Rhode Island_75-84 years,,-0.559439980292671,0.0325749517055707,22,,1.1212392659069168,1236,-0.0473927532532795,3,async,1176.0
6118,F,F,Rhode Island,136.43281059153605,2044.8756739297296,2044.8756739297296,85+ years,85+,-0.0697377299645494,-2532485.4615373546,38798.484180793595,37509.790020844346,,-211.96319803925633,Rhode Island_85+ years,1970-01-01 00:00:00.000002044,-1.01089535434357,-1.3886221422696423,-2,-2589308.95743922,,2503,-0.1087067845756205,3,pending,
6119,F,F,Rhode Island,44.0,2020.0,2020.0,25-34 years,25-34,0.0,72658.0,64.69,47.53,86.02,9.44,Rhode Island_25-34 years,1970-01-01 00:00:00.000002020,1.982209280654881,-0.2910991461012155,5,73384.58,1.809804334104776,2482,-0.0232801467208863,1,sync,
6120,F,F,,44.0,,2020.0,35-44 years,,0.0,63268.0,,124.33,,15.57,Rhode Island_35-44 years,,0.7900572061821795,0.0554000296640188,-22,,,5679,-0.0682428701721539,3,async,97.0
6121,F,F,Rhode Island,44.0,2020.0,2020.0,45-54 years,45-54,0.0,67423.0,264.0,225.22,,19.79,Rhode Island_45-54 years,NULL_TIMESTAMP,-0.5074630102247123,0.0289215357123759,-36,68097.23,,9641,0.1700460998641061,1,pending,
6122,F,F,Rhode Island,44.0,2020.0,2020.0,55-64 years,,0.0,,663.73,606.57,720.89,29.16,Rhode Island_55-64 years,1970-01-01 00:00:00.000002020,0.0120431387466404,-0.1693298574189322,-42,,1.188469591308505,4588,0.0456692143974588,1,async,518.0
6123,F,F,Rhode Island,44.0,,2020.0,65-74 years,,0.0,58804.0,1375.76,1280.95,,48.37,Rhode Island_65-74 years,,0.194865063111159,-1.142706747562188,-13,,,2408,0.0089697443030653,4,sync,
6124,F,F,Rhode Island,44.0,2020.0,,75-84 years,75-84,0.0,31536.0,4312.53,4083.33,4541.73,116.94,Rhode Island_75-84 years,NULL_TIMESTAMP,-0.0046280276391259,0.9397489443769564,-9,31851.36,1.1122613161316866,3900,-0.0573490668208085,1,async,
6125,F,F,Rhode Island,44.0,2020.0,2020.0,,85+,0.01,18176.0,15982.61,15401.41,16563.82,296.53,Rhode Island_85+ years,1970-01-01 00:00:00.000002020,0.933074370941884,0.3115626121755382,23,18357.76,1.0754742585256805,7235,-0.1168144038767177,2,sync,
6126,,,South Carolina,45.0,2006.0,2006.0,< 1 year,,0.0,29219.0,780.31,679.03,,51.68,South Carolina_< 1 year,1970-01-01 00:00:00.000002006,-0.0818747109958008,-0.8751779560878813,-27,29306.656999999996,,8487,-0.0702574036586461,3,pending,
6127,F,F,South Carolina,45.0,,,1-4 years,,0.0,110178.0,30.86,21.37,43.12,5.29,South Carolina_1-4 years,,0.367664080877283,-0.8290890915535116,-10,,2.0177819372952737,7141,-0.0165125675761791,4,pending,
6128,F,F,South Carolina,45.0,,2006.0,5-14 years,5-14,0.0,281496.0,,10.75,20.17,2.3,South Carolina_5-14 years,,-0.1296225983178832,-0.1238672015757954,-22,,1.876279069767442,1499,0.0047313756600786,1,pending,42.0
6129,F,F,South Carolina,137.43281059153605,,2031.8756739297296,15-24 years,15-24,0.0797377299645494,-2242677.4615373546,,-23952.530020844348,-25444.144394780455,-483.33319803925633,South Carolina_15-24 years,,-0.1058350301553312,0.2244528946251376,49,,1.0622737711898511,5944,-0.0584056044591977,4,async,-30687.990927079107
6130,F,,South Carolina,45.0,,,25-34 years,25-34,0.0,,87.7,76.83,,5.55,South Carolina_25-34 years,NULL_TIMESTAMP,2.3339769340083323,0.5555843819486718,-3,,,4656,-0.1436272605744941,2,async,
6131,,F,South Carolina,45.0,,,35-44 years,35-44,0.0,,,177.7,,7.86,South Carolina_35-44 years,,0.7284405530075723,0.0538813161339074,46,,,9599,-0.0308805791198058,4,pending,604.0
6132,F,F,South Carolina,45.0,2006.0,,45-54 years,45-54,0.0,323896.0,404.76,382.85,426.67,11.18,South Carolina_45-54 years,1970-01-01 00:00:00.000002006,2.4713884566843296,0.8046952959276039,-48,324867.68799999997,1.114457359279091,6226,-0.0737045544071263,2,async,
6133,F,F,South Carolina,45.0,2006.0,2006.0,55-64 years,55-64,0.01,265651.0,,775.49,843.93,17.46,South Carolina_55-64 years,1970-01-01 00:00:00.000002006,0.2938624275475343,-0.2390232645589439,-8,266447.953,1.0882538781931423,2016,-0.0138676749263061,4,sync,
6134,F,F,South Carolina,45.0,2006.0,2006.0,65-74 years,65-74,0.01,168494.0,,1764.57,,32.95,South Carolina_65-74 years,1970-01-01 00:00:00.000002006,0.6253543505360407,0.2280129412828163,26,168999.482,,2641,0.0414749588583568,4,async,
6135,,F,South Carolina,45.0,,2006.0,75-84 years,75-84,0.01,,,4590.29,4847.97,65.73,South Carolina_75-84 years,,1.5706815223441368,-0.8997096118125193,34,,1.0561358868393935,1501,0.1301238108559468,4,async,
6136,F,F,South Carolina,45.0,,2006.0,85+ years,85+,0.02,43307.0,13863.81,13513.12,14214.5,178.92,South Carolina_85+ years,,0.5055325187101918,0.4325211766654852,26,,1.051903631433747,2203,0.0240487962538393,4,pending,6004.0
6137,F,F,South Carolina,45.0,2007.0,,< 1 year,1,0.0,30988.0,677.68,586.02,,46.76,South Carolina_< 1 year,1970-01-01 00:00:00.000002007,1.4798701158154188,0.5268772894275134,37,31096.458,,9682,0.1341705928172557,3,async,210.0
6138,F,F,South Carolina,45.0,2007.0,2007.0,1-4 years,1-4,0.0,err_466,,31.51,56.67,6.17,South Carolina_1-4 years,1970-01-01 00:00:00.000002007,-0.6810329808885982,-0.0487678261971562,-29,,1.7984766740717233,7847,-0.0756661560616601,2,async,48.0
6139,F,F,South Carolina,45.0,2007.0,2007.0,5-14 years,,0.0,283276.0,,12.19,,2.42,South Carolina_5-14 years,1970-01-01 00:00:00.000002007,1.2154905169543069,0.0780897503528083,35,284267.466,,9712,0.0434095713028179,2,pending,47.0
6140,F,F,South Carolina,45.0,2007.0,2007.0,15-24 years,15-24,0.0,314303.0,54.09,45.96,,4.15,South Carolina_15-24 years,1970-01-01 00:00:00.000002007,-0.0575408200334455,-0.4763111687416915,30,315403.0605,,1167,0.113628190657873,4,pending,170.0
6141,F,F,South Carolina,45.0,,2007.0,25-34 years,25-34,0.0,err_239,91.36,80.32,,5.63,South Carolina_25-34 years,,-1.5527588797730456,0.2455059120984852,-1,,,3864,0.0319927924298203,2,sync,
6142,F,F,South Carolina,45.0,,,35-44 years,35-44,0.0,313455.0,202.58,186.82,,8.04,South Carolina_35-44 years,NULL_TIMESTAMP,-0.5594384772894847,0.7639511331428185,13,,,9819,-0.0577736469794773,3,pending,635.0
6143,F,F,South Carolina,45.0,2007.0,,45-54 years,45-54,0.0,330172.0,405.24,383.53,,11.08,South Carolina_45-54 years,1970-01-01 00:00:00.000002007,0.2815872808334669,-0.6324770687889559,-30,331327.602,,9694,-0.1245960748944148,1,async,1338.0
6144,F,F,South Carolina,45.0,2007.0,,55-64 years,55-64,0.01,278390.0,802.11,768.84,835.38,16.97,South Carolina_55-64 years,1970-01-01 00:00:00.000002007,1.0089137459716493,-0.5492583624068035,-17,279364.365,1.086545965350398,3558,-0.1102417719060254,2,sync,2233.0
6145,F,F,,45.0,,,65-74 years,65-74,0.01,,1760.43,1698.23,1822.62,31.73,South Carolina_65-74 years,,1.4979694470711056,0.2316773343981477,-9,,1.0732468511332387,7812,0.1666856623131367,3,sync,
6146,F,F,,45.0,,,75-84 years,75-84,0.01,,,4599.87,,65.56,South Carolina_75-84 years,,-0.5103237522309386,-0.6615156669249234,41,,,1358,0.0881388336376975,2,pending,5202.0
6147,F,F,South Carolina,45.0,,2007.0,85+ years,85+,0.02,45171.0,13889.44,13545.75,14233.13,175.35,South Carolina_85+ years,,-0.0290603806241386,0.2895572865203019,-28,,1.050745067641142,5302,-0.0335651949006268,1,pending,6274.0
6148,F,F,South Carolina,45.0,,2008.0,< 1 year,1,0.0,31487.0,797.15,698.54,895.77,50.32,South Carolina_< 1 year,,-0.3738138141713528,-0.3866817068083785,18,,1.2823460360179804,4371,-0.0980948775529646,4,async,251.0
6149,F,F,South Carolina,45.0,2008.0,,1-4 years,,0.0,115943.0,,16.05,,4.56,South Carolina_1-4 years,NULL_TIMESTAMP,0.2208867859743031,-0.419256363567733,-31,116406.772,,2074,0.1017954849703954,4,sync,28.0
6150,F,F,South Carolina,45.0,,,5-14 years,5-14,0.0,,,7.95,,2.01,South Carolina_5-14 years,,0.7597758309660753,0.7727874305015656,29,,,1917,0.1823130951797697,1,pending,33.0
6151,,,South Carolina,45.0,2008.0,2008.0,15-24 years,15-24,0.0,319880.0,45.33,37.95,,3.76,South Carolina_15-24 years,1970-01-01 00:00:00.000002008,-1.3713702434220283,0.2898066885706362,-43,321159.52,,9544,0.0353346390512929,1,async,
6152,F,F,South Carolina,45.0,2008.0,2008.0,25-34 years,25-34,0.0,292308.0,,77.17,,5.48,South Carolina_25-34 years,1970-01-01 00:00:00.000002008,0.2308647868683636,0.3949137911129058,-18,293477.232,,5738,0.0203549518011754,4,pending,257.0
6153,F,F,South Carolina,45.0,2008.0,2008.0,35-44 years,35-44,0.0,err_580,189.12,173.89,204.36,7.77,South Carolina_35-44 years,1970-01-01 00:00:00.000002008,-0.8563068048846652,0.7934071655886901,-41,,1.1752257174075569,9093,0.0402362485385829,4,async,592.0
6154,F,F,,45.0,2008.0,2008.0,45-54 years,45-54,0.0,,409.79,388.11,431.47,11.06,South Carolina_45-54 years,1970-01-01 00:00:00.000002008,0.1649383477042412,-0.2584752097363127,14,,1.1117209038674605,4175,-0.1295189922040125,1,sync,1373.0
6155,F,F,South Carolina,45.0,2008.0,,55-64 years,55-64,0.01,289710.0,,702.98,765.38,15.92,South Carolina_55-64 years,1970-01-01 00:00:00.000002008,1.3436585736530706,-0.4614985507889731,-39,290868.84,1.0887649719764432,1616,-0.1256396380109612,4,async,
6156,F,F,South Carolina,45.0,2008.0,2008.0,65-74 years,65-74,0.01,183649.0,,1660.14,1780.11,30.6,South Carolina_65-74 years,1970-01-01 00:00:00.000002008,0.1307720049176268,0.5126560911064708,0,184383.596,1.0722649896996637,1807,0.0044304456266362,1,pending,3159.0
6157,F,F,South Carolina,45.0,,2008.0,75-84 years,,0.01,111221.0,4701.45,4574.02,,65.02,South Carolina_75-84 years,,-0.3669909149080684,0.4094198451646717,20,,,7974,-0.044207325542504,1,pending,
6158,F,F,South Carolina,45.0,,,85+ years,,0.02,46889.0,,14128.13,14816.82,175.69,South Carolina_85+ years,NULL_TIMESTAMP,-0.4844551677400638,-0.4562920533383842,-16,,1.0487460123880514,1045,-0.0471618910239217,1,async,6786.0
6159,F,,South Carolina,45.0,2009.0,,< 1 year,1,0.0,30190.0,,579.91,,47.19,South Carolina_< 1 year,1970-01-01 00:00:00.000002009,0.4612795398436957,-0.3226663977762657,-42,30325.855,,5850,0.0819517121393945,3,pending,
6160,F,F,South Carolina,45.0,,2009.0,1-4 years,1-4,0.0,118717.0,,24.78,,5.39,South Carolina_1-4 years,,0.1421134812874314,-0.2857047887092911,35,,,2907,-0.0767007321818205,3,pending,41.0
6161,F,F,South Carolina,45.0,,,5-14 years,,0.0,288762.0,15.93,11.66,21.25,2.35,South Carolina_5-14 years,,0.836203705724588,1.1818024642665923,23,,1.8224699828473416,2539,0.1456873874249048,4,async,
6162,F,,South Carolina,45.0,2009.0,2009.0,15-24 years,15-24,0.0,323574.0,47.59,40.08,,3.84,South Carolina_15-24 years,1970-01-01 00:00:00.000002009,-0.4698571534846649,0.2255861031830797,5,325030.083,,3506,-0.1309402243827912,4,async,154.0
6163,,,South Carolina,45.0,2009.0,2009.0,25-34 years,,0.0,295454.0,81.23,70.95,,5.24,South Carolina_25-34 years,1970-01-01 00:00:00.000002009,1.8611378525491264,-0.4924847860816513,-46,296783.543,,5423,-0.0469884771063554,2,pending,240.0
6164,F,F,South Carolina,45.0,2009.0,,35-44 years,35-44,0.0,309457.0,,149.26,177.76,7.27,South Carolina_35-44 years,1970-01-01 00:00:00.000002009,0.7217199751096693,-0.9638104497482372,-31,310849.5565,1.1909419804368218,2777,-0.1471549255669909,4,async,506.0
6165,F,F,South Carolina,45.0,2009.0,2009.0,45-54 years,,0.0,339820.0,394.33,373.21,415.44,10.77,South Carolina_45-54 years,1970-01-01 00:00:00.000002009,-1.6863696943560076,0.2577033816458393,42,341349.19,1.1131534524798372,1821,0.2276185151440546,4,async,1340.0
6166,F,,South Carolina,45.0,,2009.0,55-64 years,55-64,0.01,299884.0,,726.15,,15.89,South Carolina_55-64 years,,0.7845500026230462,-0.0539729907577158,-5,,,3198,-0.2048133659017156,3,async,2271.0
6167,F,F,South Carolina,45.0,,,65-74 years,65-74,0.01,191692.0,1639.61,1582.29,,29.25,South Carolina_65-74 years,,-0.2013952634075174,0.6835328644059546,-24,,,4889,-0.0159388790377651,1,async,3143.0
6168,F,F,,45.0,2009.0,,75-84 years,75-84,0.01,,,4453.66,4705.15,64.16,South Carolina_75-84 years,1970-01-01 00:00:00.000002009,-0.9032264576427614,0.3843116207078666,15,,1.0564681632634731,7695,-0.033329311287646,4,pending,5095.0
6169,F,F,South Carolina,45.0,2009.0,2009.0,85+ years,85+,0.02,,13842.52,13510.43,14174.6,169.43,South Carolina_85+ years,1970-01-01 00:00:00.000002009,-0.0042066458877102,-1.116709304747022,-44,,1.049159797282544,2669,-0.1174020314723013,4,pending,6675.0
6170,,F,South Carolina,45.0,,2010.0,< 1 year,1,0.0,29284.0,611.26,521.71,,45.69,South Carolina_< 1 year,,-0.5697957294412495,0.9396407088870324,-11,,,7278,-0.1352077542154736,2,pending,
6171,F,F,,45.0,2010.0,2010.0,,1-4,0.0,err_536,,16.93,35.81,4.58,South Carolina_1-4 years,1970-01-01 00:00:00.000002010,0.2427151854572767,-0.1491265831326237,-10,,2.1151801535735384,5235,-0.1095170079821643,2,pending,30.0
6172,F,F,,45.0,2010.0,2010.0,5-14 years,5-14,0.0,290672.0,12.39,8.67,17.15,2.06,South Carolina_5-14 years,NULL_TIMESTAMP,-0.4844325711086035,-0.6016282005512047,-6,292125.36,1.978085351787774,5185,-0.0566602763273337,1,sync,36.0
6173,F,F,South Carolina,137.43281059153605,1984.1243260702704,,15-24 years,15-24,-0.0797377299645494,-2226332.4615373546,,-23959.440020844348,-25452.694394780458,-483.75319803925635,South Carolina_15-24 years,1970-01-01 00:00:00.000001984,1.1579634063253044,0.3449056887301974,-35,-2208660.1974280854,1.0623242601929344,2187,0.1927787545963919,3,pending,-30704.990927079107
6174,F,F,,45.0,2010.0,,25-34 years,25-34,0.0,297555.0,,75.18,96.22,5.37,South Carolina_25-34 years,1970-01-01 00:00:00.000002010,0.9464459162467485,-0.4862232390790613,-6,299042.77499999997,1.2798616653365256,8892,0.1960402792827215,2,sync,255.0
6175,F,,South Carolina,45.0,,2010.0,35-44 years,35-44,0.0,306068.0,177.74,162.8,192.67,7.62,South Carolina_35-44 years,,1.66624263299625,-0.6983182819121969,-10,,1.1834766584766585,3009,0.107475489326497,4,pending,
6176,F,F,South Carolina,45.0,2010.0,2010.0,,,0.0,340673.0,,388.85,,10.98,South Carolina_45-54 years,1970-01-01 00:00:00.000002010,-1.1319412510345748,-0.3463939748284912,49,342376.365,,4008,0.0033798017492963,1,sync,1398.0
6177,F,F,South Carolina,45.0,2010.0,,55-64 years,55-64,0.01,308351.0,,741.47,,15.83,South Carolina_55-64 years,1970-01-01 00:00:00.000002010,-1.1668677706863055,0.4516270196948468,21,309892.75499999995,,2063,0.1613081079378788,3,async,2382.0
6178,F,F,South Carolina,45.0,2010.0,2010.0,65-74 years,65-74,0.01,,1716.45,1658.59,1774.31,29.52,South Carolina_65-74 years,1970-01-01 00:00:00.000002010,0.0641107287614009,-0.4015748278784433,-47,,1.069770105933353,3917,0.0314242380796708,2,pending,
6179,F,F,South Carolina,45.0,2010.0,,75-84 years,75-84,0.01,112110.0,,4423.37,4673.05,63.69,South Carolina_75-84 years,NULL_TIMESTAMP,0.3151599051993382,-0.5185533088077556,-9,112670.55,1.0564456511664184,9907,0.2583120151118752,4,pending,
6180,F,F,South Carolina,45.0,2010.0,,85+ years,85+,0.02,49306.0,14109.84,13778.28,14441.41,169.17,South Carolina_85+ years,1970-01-01 00:00:00.000002010,-0.3544528071400772,0.8613218970734461,2,49552.52999999999,1.0481286488589283,9464,-0.1652997281059646,4,pending,6957.0
6181,F,,South Carolina,45.0,,2011.0,< 1 year,,0.0,28934.0,,569.72,757.44,47.89,South Carolina_< 1 year,NULL_TIMESTAMP,0.5936039493609817,0.8696413717429979,11,,1.3294951906199537,4138,-0.0084254966461542,2,pending,192.0
6182,F,F,South Carolina,45.0,,2011.0,1-4 years,1-4,0.0,119753.0,,14.18,31.81,4.26,South Carolina_1-4 years,,-0.9202071072692756,0.2435230400523086,-44,,2.2433004231311706,9792,0.0369499813847697,3,pending,26.0
6183,F,F,South Carolina,45.0,2011.0,,5-14 years,5-14,0.0,292880.0,14.0,10.05,,2.19,South Carolina_5-14 years,1970-01-01 00:00:00.000002011,1.1407996618172629,-0.1306095384820593,-40,294490.84,,9662,0.0854077824771597,1,sync,41.0
6184,F,F,South Carolina,45.0,,,15-24 years,15-24,0.0,323660.0,,34.11,48.08,3.56,South Carolina_15-24 years,,0.2882162350868433,-0.5853019379003286,-14,,1.4095573145705071,5603,-0.1949588170910401,1,sync,133.0
6185,,F,South Carolina,45.0,,,25-34 years,25-34,0.0,302792.0,91.48,80.71,102.26,5.5,South Carolina_25-34 years,,-0.8770624195630233,0.101876209354498,-49,,1.267005327716516,5926,0.1282926310162181,1,async,277.0
6186,F,F,South Carolina,45.0,2011.0,2011.0,35-44 years,35-44,0.0,301975.0,,165.96,196.32,7.75,South Carolina_35-44 years,1970-01-01 00:00:00.000002011,-0.8854889363370583,-0.214445401506907,-36,303635.86250000005,1.18293564714389,9650,-0.0726051117488397,3,async,547.0
6187,F,F,South Carolina,45.0,2011.0,,45-54 years,45-54,0.0,339617.0,,385.76,428.69,10.95,South Carolina_45-54 years,1970-01-01 00:00:00.000002011,-0.2961182627563453,-0.1785300899443382,30,341484.8935,1.1112868104520943,3583,0.0949690527752305,4,async,
6188,F,F,,45.0,2011.0,2011.0,55-64 years,,0.01,321139.0,,702.79,761.99,15.1,South Carolina_55-64 years,1970-01-01 00:00:00.000002011,-2.635927899470256,0.607109281652198,-44,322905.26450000005,1.0842356891816902,8823,0.0778880117144601,1,sync,2352.0
6189,F,F,South Carolina,45.0,,,65-74 years,65-74,0.01,206452.0,,1562.47,,27.99,South Carolina_65-74 years,,-0.1207320342248915,-0.5767643002121434,28,,,8273,0.1149090697159846,4,sync,3339.0
6190,F,F,South Carolina,45.0,,2011.0,75-84 years,,0.01,114323.0,4599.25,4474.93,4723.57,63.43,South Carolina_75-84 years,,-0.5994257084093907,-0.0505698935686087,-12,,1.0555628803132115,3305,-0.0010430702930203,2,sync,
6191,F,F,South Carolina,137.43281059153605,,1985.1243260702704,85+ years,85+,-0.0597377299645494,,,37968.250020844345,40131.53439478045,654.6731980392564,South Carolina_85+ years,,-0.3648762691159366,0.2295914970888352,-2,,1.0569761411902965,2381,-0.147214162173293,4,async,-23535.990927079107
6192,F,F,South Carolina,137.43281059153605,2037.8756739297296,2037.8756739297296,< 1 year,1,0.0797377299645494,-2522989.4615373546,-24061.824180793596,-23409.520020844346,26279.674394780453,-438.0331980392563,South Carolina_< 1 year,1970-01-01 00:00:00.000002037,-0.966463018390164,0.0673448910940297,-36,-2570769.4246240207,-1.122606288867967,2871,-0.1578901019831247,4,sync,-30649.990927079107
6193,F,F,South Carolina,45.0,2012.0,,1-4 years,1-4,0.0,117709.0,,14.43,32.36,4.33,South Carolina_1-4 years,1970-01-01 00:00:00.000002012,0.284558744238522,-0.5281371165930031,40,118415.254,2.2425502425502426,9736,0.0872344240620229,4,pending,
6194,F,F,South Carolina,45.0,,,5-14 years,5-14,0.0,297186.0,12.79,9.05,,2.07,South Carolina_5-14 years,,-0.4643070450880984,-0.0680457964813644,25,,,2908,-0.1578757514576814,4,pending,38.0
6195,,F,South Carolina,45.0,,2012.0,15-24 years,15-24,0.0,323786.0,,37.78,52.41,3.73,South Carolina_15-24 years,NULL_TIMESTAMP,0.6421978143611803,-0.763188237148671,-33,,1.3872419269454737,9867,0.0508960026374853,1,pending,
6196,F,F,,45.0,,2012.0,25-34 years,25-34,0.0,,82.06,71.91,92.21,5.18,South Carolina_25-34 years,,1.465599613094254,0.7024105134006206,-20,,1.2822973160895563,6014,-0.057274186485453,1,async,
6197,F,F,,45.0,2012.0,,,35-44,0.0,301716.0,,145.17,,7.27,South Carolina_35-44 years,1970-01-01 00:00:00.000002012,1.5970376929239205,0.3446641745821396,40,303526.296,,9051,0.1208933652183949,3,async,481.0
6198,,F,South Carolina,45.0,,2012.0,45-54 years,,0.0,err_105,,394.0,437.52,11.1,South Carolina_45-54 years,,0.9162128990123632,-0.1907446093376139,14,,1.110456852791878,1810,0.0268306508964787,2,async,
6199,F,F,South Carolina,45.0,,2012.0,55-64 years,55-64,0.01,323892.0,795.64,764.92,826.36,15.67,South Carolina_55-64 years,,-1.6334575478369966,-0.6605603206883223,-46,,1.0803221251895625,2237,-0.0505425533083684,4,sync,2577.0
6200,F,F,South Carolina,-47.432810591536054,,,65-74 years,,-0.0697377299645494,err_380,-23089.524180793596,-22394.050020844345,,514.6231980392563,South Carolina_65-74 years,,1.9874806177918212,0.223520474388798,-2,,,4389,0.0133746746065126,1,pending,-27166.990927079107
6201,F,F,South Carolina,45.0,2012.0,2012.0,75-84 years,75-84,0.01,116469.0,,4317.95,,61.74,South Carolina_75-84 years,1970-01-01 00:00:00.000002012,-0.3331435045528215,0.5497310210217023,-1,117167.814,,4106,0.0049337599503821,1,async,5170.0
6202,,F,South Carolina,45.0,,,85+ years,85+,0.02,52475.0,,13904.99,14550.46,164.66,South Carolina_85+ years,,-0.9654107733204788,-1.0010263949424445,-38,,1.046420026192036,3833,-0.011485360325241,1,pending,7466.0
6203,F,,South Carolina,-47.432810591536054,,,,1,-0.0797377299645494,-2523063.4615373546,,24567.320020844345,,536.2631980392563,South Carolina_< 1 year,,-1.673893385051047,0.7719301306632209,30,,,7690,0.0248616136986435,1,pending,31027.990927079107
6204,F,F,South Carolina,45.0,,2013.0,1-4 years,1-4,0.0,115474.0,23.38,15.41,34.02,4.5,South Carolina_1-4 years,,-0.128447949281766,-0.3021718612002733,21,,2.207657365347177,7866,0.1887800742123539,1,sync,
6205,F,F,South Carolina,45.0,,2013.0,5-14 years,,0.0,299146.0,,11.83,21.27,2.32,South Carolina_5-14 years,,0.4496095364371119,0.0178804731063426,-46,,1.797971259509721,4680,-0.0596029855981431,3,sync,48.0
6206,F,F,South Carolina,45.0,2013.0,2013.0,15-24 years,15-24,0.0,err_4,34.27,27.9,,3.25,South Carolina_15-24 years,1970-01-01 00:00:00.000002013,-0.1923413804643232,-0.0035807303345024,42,,,8061,-0.0612112337130209,3,async,111.0
6207,F,F,South Carolina,45.0,2013.0,,25-34 years,25-34,0.0,309937.0,78.4,68.55,,5.03,South Carolina_25-34 years,1970-01-01 00:00:00.000002013,0.4506262248190384,0.0723083736375036,-39,311951.5905,,7589,-0.0320288295256602,2,pending,
6208,,F,South Carolina,45.0,2013.0,,35-44 years,35-44,0.0,302944.0,179.57,164.48,194.66,7.7,South Carolina_35-44 years,1970-01-01 00:00:00.000002013,-0.4007012038366749,0.0732305992645216,-12,304913.136,1.1834873540856032,8932,-0.0092645150475276,1,sync,544.0
6209,,,South Carolina,45.0,2013.0,2013.0,45-54 years,45-54,0.0,336005.0,,381.22,424.13,10.95,South Carolina_45-54 years,1970-01-01 00:00:00.000002013,0.3375374511205528,0.0760678869434458,-45,338189.0325,1.112559676827029,6092,0.1419259737805155,3,async,1353.0
6210,F,,South Carolina,45.0,2013.0,,55-64 years,55-64,0.01,329196.0,764.59,734.72,,15.24,South Carolina_55-64 years,1970-01-01 00:00:00.000002013,0.3215298540252078,-0.4467816419449336,-45,331335.774,,4956,0.0491840390523657,1,async,2517.0
6211,F,F,South Carolina,-47.432810591536054,,1987.1243260702704,,65-74,-0.0697377299645494,err_215,,25523.370020844348,27132.444394780458,513.2931980392564,South Carolina_65-74 years,,1.598771619371817,-0.561658200701783,-25,,1.0630431785701502,7919,-0.0934574226547786,4,async,
6212,F,F,South Carolina,45.0,,2013.0,75-84 years,75-84,0.01,,4576.74,4455.11,4698.38,62.06,South Carolina_75-84 years,,1.122324342941736,0.3769973446912841,11,,1.0546047123415585,6148,0.1489812956381249,3,pending,
6213,,F,,45.0,2013.0,,85+ years,85+,0.02,53791.0,14128.76,13811.1,,162.07,South Carolina_85+ years,1970-01-01 00:00:00.000002013,0.3860701843129114,0.5284340249960291,-7,54140.6415,,6889,0.0388123624754635,1,sync,
6214,,F,South Carolina,45.0,2014.0,,< 1 year,1,0.0,28031.0,,426.53,,42.66,South Carolina_< 1 year,1970-01-01 00:00:00.000002014,1.82093004719408,-0.5292242536267681,-6,28227.216999999997,,3578,-0.0426543504338056,1,async,
6215,F,F,South Carolina,45.0,2014.0,2014.0,1-4 years,1-4,0.0,114578.0,29.67,20.55,41.47,5.09,South Carolina_1-4 years,1970-01-01 00:00:00.000002014,-0.3445867326015837,0.3268037009251546,-31,115380.046,2.0180048661800485,9114,-0.0343690505184514,2,pending,
